id,name,album,album_id,artists,explicit,danceability,duration_ms,release_date,album_year
1TgR5EIY8EZJRXKTLL1w5A,Never Too Late To Rock And Roll,Back Room Blood,2OUcAD1Y66F3730HXHvB2x,Gerry Goffin,False,0.508,219080,1996-01-01,1996
13QOnRxAdlJeGjP2Tve0di,Ici comme ailleurs,Vagabondage,2K9prRIwHGnNh4B0sSYBTB,Richard Séguin,False,0.639,282067,1993-11-01,1993
4eqniDK3vpYQDEfCEAAsY7,In A Nameless Time,Lingua Mortis,3YCvn462uz4CfcjbtA1fck,Rage,False,0.412,679400,1996-04-15,1996
1IERjUpo0AhB3yoxCBl7FQ,Watermusic II,Watermusic II,7MdkxcdBguABPgKiHQ6WKp,William Basinski,False,0.105,3997680,2003-01-17,2003
4eCyjPBC6MbFrUpzkR8BZa,Intro,Shake A Lil' Somethin',3MVW3yL2HW0QXgrDxyjDro,2 LIVE CREW,True,0.767,114133,1996-07-23,1996
6epHYvWrN6UMsTa4C4M7MV,Belief,Born,7LT66jJYmgR4dAtOHliS0W,Neuropa,False,0.588,246347,2004-04-09,2004
2651l1GZZBY4kwrbBElcAU,Fine & Sublime,The Joanna Connor Band,1YqrZYl3T9gUGIDP1XwSyk,Joanna Connor,False,0.708,186200,2002-01-01,2002
0EPNHU5xH5jUfSGrPry8dD,Last Time,Something Like Human,1OmZcrLO7y9cL7pq8Ge0LL,Fuel,False,0.44,222200,2000-09-19,2000
4RGNT5p2EI0h4BUrC7BnNQ,Winter Wonderland,Christmas Time With The Judds,4Z8k8Pc0dDEknSvF1VtbHr,The Judds,False,0.7090000000000001,226733,1987-09-29,1987
5ktg9ysljMVrG1ZxSqhNnO,Black Pony,Live At The Backgate Stage,54MXl3ygNy9A0QOFoUHCX6,Misty River,False,0.638,217960,2002-02-06,2002
2Cf45Jr8pB0fiDr9A1249M,Paper Thin - Brooks Remix,Paper Thin (Brooks Remix),5pFYbV0Z5yu8yrbQOxHBBj,"ILLENIUM, Tom DeLonge, Angels & Airwaves, Brooks",False,0.643,181444,2020-11-20,2020
3fnVx51GGIJd9k5HWFNzWm,A More Perfect World,A More Perfect World,0tp3BcwvAIltngNAFcrU6i,Mary Beth Maziarz,False,0.467,131533,2000-01-01,2000
4Z9OA6EhcUYjgoSAq6ZWt0,"Billy Budd, Op. 50: Prologue: I am an old man … (Vere)",Britten: Billy Budd,6nwLO6Iid9fvsjBMBINsga,"Benjamin Britten, Philip Langridge, Simon Keenlyside, John Tomlinson, Alan Opie, Matthew Best, Alan Ewing, Francis Egerton, Quentin Hayes, Clive Bayley, Mark Padmore, Richard Coxon, Timothy DuFore, Christopher Keyte, Richard Whitehouse, Daniel Norman, Roderick Williams, Alex Johnston, London Symphony Chorus, Tiffin Boys Choir, London Symphony Orchestra, Richard Hickox",False,0.222,309960,2000-04-01,2000
2TxDNSoKEpASBqZU9cfpwG,In The Street (Live),Live Tribute At The Levitt Shell (with John Davis) - EP,2phUdYGTtlOJU7z1i5msol,Big Star,False,0.391,188680,2011-09-20,2011
4ZIKJ0hw38HWo3CNOGyZfM,The Trees Do Grow So High,Six,0APTTn4fjE7DgZ6vMWd8kL,Papa M,False,0.4639999999999999,354067,2004-03-23,2004
5Asdr6ydi7MvwVzyhD15CO,Dream Sequence,Walking a Changing Line,1m6Xkk0vKkj91OAAYjppv9,Iain Matthews,False,0.244,118227,2016-04-01,2016
6a0t5aOb0dNfetZURclxpX,Manic Expressive (enter),Manic Expressive,5wMiWs5ZqkpnMYkhPsZBIz,Her Space Holiday,False,0.1689999999999999,186280,2001-11-06,2001
4CADydGVsksc7efCAPa6vV,North Pole,Latitude,2hRBoYbuZ64anNR5OTCgCs,"Charlie Hunter, Greg Osby, Bobby Previte",False,0.315,189373,2004-08-24,2004
5KEqXDPK55I1QGKTkCerr0,Home is Where You Hang Yourself,Home is Where You Hang Yourself,4wlTSGTP1iWq2EZyLSx2fP,Her Space Holiday,False,0.489,242227,2000-06-20,2000
3G3WycS7C0j5qE5O9gS6X5,Burn,The Purple Album (Deluxe Version),4pqeE1SpGBJcNNpjcBacV2,Whitesnake,False,0.401,416173,2015-05-19,2015
5WIX0o6Oec5U8ws4YgEVCm,So Close,So Close,3txuq53sWauym07ybZee1Z,Six by Seven,False,0.155,276867,2001-10-15,2001
4rOPzC3EoK0v3EDQW3V4oD,One Angry Dwarf and 200 Solemn Faces,Whatever and Ever Amen,7ggEMmVTUloqdMw18rv0ve,Ben Folds Five,False,0.375,232293,1997-03-18,1997
6ldwfK0yWgTAlmIfuQkTYN,I'm a Slave 4 U,Britney (Digital Deluxe Version),5ax3GTsfX5uCUaNgnJsSG5,Britney Spears,False,0.847,203600,2001-10-31,2001
5CU4jFyW0Pd99t5pOgIpfw,Charades,Charades,4zqGE8nT6MGuKtvA3Y2GUL,The Shivers,False,0.259,95520,2004-10-15,2004
